username,date,tweet,existence,existence.confidence
EthicalSkeptic,16/06/2023 17:38,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",Yes,1
ElonMuskAOC,16/06/2023 17:07,Fighting poverty and global warming in Africa [link],Yes,1
swolecialism,16/06/2023 17:07,Carbon offsets: How a Vatican forest failed to reduce global warming [link],Yes,0.8786
domesticetch,16/06/2023 16:56,Carbon offsets: How a Vatican forest failed to reduce global warming [link],Yes,1
ArbDogeAI,16/06/2023 14:50,URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Yes,0.8087
sacha_coward,16/06/2023 07:43,RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Yes,1
jeremyphoward,16/06/2023 06:31,Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Yes,1
Petitamaretti,16/06/2023 04:16,Migratory Birds' New Climate Change Strategy: Stay Home [link],Yes,1
selalways,16/06/2023 04:10,Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link],Yes,1
revhowardarson,16/06/2023 03:23,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",Yes,1
Jacksluck77,16/06/2023 02:41,How do we solve this global warming thing? [link],Yes,0.9073
oxytail,16/06/2023 01:54,Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link],Yes,1
danielgothits,16/06/2023 00:56,Ecotone: #Climate change from a #population perspective [link],Yes,0.5488
flemmingmiguel,14/06/2023 18:30,Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link],Yes,0.8823
stung_art,14/06/2023 18:24,Spring storm season starting a little late this year???  Must be global warming!,N/A,1
alifeofinsanity,14/06/2023 18:01,"Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link]",Yes,0.75
BullyEsq,14/06/2023 17:44,For #EarthDay Global warming could affect patient symptoms [link],Yes,1
DakotaWood_AI,14/06/2023 17:26,"Wait here's an idea: it's natural climate change, not human induced global warming. [link]",No,0.6648
DivesTech,14/06/2023 17:24,EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link],Yes,1
GopalKRaman,14/06/2023 17:16,,Nn,0
JeffLadish,14/06/2023 17:16,QUT researchers track climate change [link],Yes,0.5194
JeffLadish,14/06/2023 17:12,"Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]",Yes,1
pappybest,14/06/2023 17:24,"Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... [link]",Yes,1
MotorcycleVet,14/06/2023 17:16,"Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]",Yes,1
ryguyperez,14/06/2023 17:16,"RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw",Yes,1
